Title,First Paragraph
Władysław Reymont,<START> Ni Władysław Stanisław Reymont ket maysa idi a POlako a nobelista ken nagunggunaan iti Premio Nobel iti Literatura. Ti kangrunaan nga obrana ket ti nobel a Chłopi. <END>
José Palma,"<START> Ni José Palma y Velasquez ket Filipino a mannaniw ken soldado. Isu ket empleado idi ti La Independencia idi panawen nga insuratna ti Filipinas, ti patriotiko a daniw iti Espaniol. Immuna a naipablaak daytoy iti immuna nga anibersario a pablaak ti La Independencia idi 3 Septiembre 1899. Ti daniw ket maibagay iti instrumental a tuno ti Marcha Nacional Filipina babaen ni Julian Felipe, ken manipud idin daytoyen ti batayan para iti amin a pannakaipatarus ti Nailian a Kanta ti Filipinas. <END>"
Charles Édouard Guillaume,<START> Ni Charles Édouard Guillaume ket maysa idi a Suiso a pisiko a nagungunaan iti Premio Nobel iti Pisika idi 1920 para iti pannakabigbigna iti serbisio a naitedna kadagiti panagrukod iti pisika babaen ti panagduktalna kadagiti anomalia dagiti aloy ti nikel ken landok. <END>
Millard Fillmore,"<START> Ni Millard Fillmore ket isu idi ti maika-13 a Presidente iti Estados Unidos (1850–1853) ken isu ti kinaudi a kameng ti Partido Whig a nagtengngel ti opisina ti presidente. A kas Bise Presidente ni Zachary Taylor, isu ket nagtakem ti kina-presidente kalpasan ti ipupusay ni Taylor. <END>"
Franklin Pierce,"<START> Ni Franklin Pierce ket isu idi ti maika-14 a Presidente iti Estados Unidos (1853–1857) ken is-isu laeng ti Presidente a nanipud idiay New Hampshire. Ni Pierce ket maysa idi a Demokratiko ken maysa a 'nagmaskara ti masa' a nagserbi idiay Kamara dagiti Pannakabagi iti Estados Unidos ken ti Senado. Ni Pierce ket nakilaban ti Gubat ti Mehikano-Amerikano ken nagbalin a maysa a brigada heneral iti Buyot. Ti pribadona a panagsanay ti linteg idiay pagtaenganna nga estado, ti New Hampshire, ket nagballigi unay nga isu ket naidatonan kadagiti nadumaduma a puesto, nga isu ket saan nga immawat. Kalpasan daytoy, isu ket nainominado a kas ti kandidato ti partido para iti presidente iti maika-49 a balota iti 1852 a Demokratiko a Nailian a Taripnong. Iti panagbutos ti presidente, ni Pierce ken ti timmaray a kaduana a ni William R. King ket nanagbak babaen ti maysa a guedday iti Elektoral a Kolehio. Inakda ti Partido Whig nga etiketa ni Winfield Scott ken William A. Graham babaen ti 50 porsiento aginggana ti 44 a porsiento a naggiddiatan iti nadayeg a butos ken 254 aginggana ti 42 iti elektoral a butos. <END>"
James Buchanan,"<START> Ni James Buchanan, Jr. ket isu idi ti Maika-15 a Presidente iti Estados Unidos (1857–1861). Isu ket ti maymaysa laenga presidente manipud idiay Pennsylvania ken ti laeng presidente a saan nakiasawa. Ti kaanakanna a babai a ni Harriet Lane ket isu nagayayam ti papel a kas ti balasang iti balay. <END>"
Michael Caine,"<START> Ni Michael Caine,, ket Ingles nga aktor ken mannurat. Kaaduan nga ammo para iti naisangayan nga agtrabtrabaho a klase nga ayug iti cockney, ni Caine ket nagparang kadagiti sumurok a 115 a pelikula ken naikeddenga a kas simbolo ti Briton a pelikula. <END>"
Sinclair Lewis,"<START> Ni Harry Sinclair Lewis ket maysa idi nga Amerikano a nobelista, mannurat ti ababa a sarita, ken dramaturgo. Idi 1930, isu ti immuna a mannurat a manipud iti Estados Unidos a nagunggunaan iti Premio Nobel iti Literatura, 'para iti nabileg ken grapiko nga arte iti deskripsion ken ti kalaingna nga agaramid, nga addaan iti isip ken dam-eg, kadagiti barbaro a kita ti karakter.' Dagiti obrana ket ammo para kadagiti kinasaririt ken managdillaw a kapanunotan iti Amerikano a kagimongan ken kapitalista a patpateg, ken dagiti pay napigsa a pannakaidumduma dagiti moderno nga agob-obra a babbai. <END>"
Gloria Macapagal Arroyo,"<START> Ni Gloria Macapagal Arroyo, ti maika-14 a Presidente ti Filipinas ket agdama nga Kongresista iti maikadua a distrito ti Tarlac. Isu ti maikadua a babai a presidente ti Filipinas ken ti umuna a babai a nag-bise presidente. Anak ni sigud a Presidente Diosdado Macapagal. <END>"
Boutros Boutros-Ghali,"<START> Ni Boutros Boutros-Ghali ket Ehipsio a politiko ken diplomata ken isu idi ti maika-6 a Sekretario Heneral ti Nagkaykaysa a Pagpagilian (UN) manipud idi Enero 1992 aginggana idi Disiembre 1996. Maysa nga akademiko ken dati a Bise-Ganganaet a Ministro ti Ehipto, ni Boutros-Ghali ket mangimaton idi iti UN iti panawen dagiti nadumaduma a didigra, mairaman ti panagsisina ti Yugoslavia and the henosidio ti Rwanda. Isu idin ti immuna a Sekretario Heneral iti Sangalubongan a Gunglo ti Francophonie manipud idi Nobiembre 1997 aginggana idi Disiembre 2002. <END>"
Frédéric Chopin,"<START> Ni Frédéric François Chopin ket maysa idi a Polako a kompositor ken birtuoso a pianista ti Pranses ken Polako a kaputotan. Isu ket naipanpanunotan a kas maysa kadagiti kalatakan nga apo ti Romantiko a musika. Ni Chopin ket naipasngay idi idiay Żelazowa Wola, ti maysa a purok idiay Dukado ti Warsaw. Ti nalatak a naam-ammuan nga ubing a prodihio a pianista ken kompositor, ni Chopin ket dimmakkel idiay Warsaw ken tinurposna idiay ti edukasionna ti musika; isu ket nagkompuesto kadagiti napnekan nga obran idiay Warsaw sakbay nga immalis manipud idiay Poland idi 1830 iti tawen a 20, ti nabiit a kasakbayan ti Nobiembre 1830 a Yaalsa. <END>"
José Echegaray,"<START> Ni José Echegaray y Eizaguirre ket maysa nga inheniero, matematiko, ken dramaturgo iti Madrid, Espania. <END>"
Earl Hooker,"<START> Ni Earl Hooker ket maysa idi nga Amerikano a gitarista iti Chicago blues para iti panagtokarna iti slide a gitara. Naikeddeng isuna a kas 'musikero ti musikero'. Kimmuyog a nagpabuya ni Hooker kadagiti artista ti blues a kas ni Sonny Boy Williamson II, Junior Wells, ken ni John Lee Hooker ken nangidadulo pay kadagiti bukodna a banda. Maysa nga ubing a naggitgitara iti elektriko a gitara, ni Hooker ket naimpluensiaan idi babaen dagiti estilo ti moderno nga urbano a kas ni T-Bone Walker ken ni Robert Nighthawk. Kas daulo iti banada, nagrekord isuna kadagiti nadumaduma a single ken dagiti album ken maipatinayon pay iti panagrekord kadagiti nadayeg nga artista. <END>"
Arthur Compton,"<START> Ni Arthur Holly Compton ket maysa idi nga Amerikano a pisiko a nagungunaan iti Premio Nobel iti Pisika idi 1927 para iti pannakaduktalna ti epekto Compton, a nangipakita ti kasasaad ti partikula iti elektromagnetiko a radiasion. Daytoy ket mapakasiddaaw idi a pannakaduktal iti dayta a panawen: ti kasasaad ti allon iti lawag ket nasayaat idin a naipakita, ngem ti kapanunotan a ti lawag ket addaan kadagiti tagikua iti alon ken partikula ket saan unay a naaw-awat. Isu ket ammo pay para iti panangidaulona iti Laboratorio ti Metalurhiko ti Proyekto Manhattan, ken nagserbi a Kansilier iti Unibersidad ti Washington idiaySt. Louis manipud idi 1945 aginggana idi 1953. <END>"
Leonid Chernovetskyi,"<START> Ni Leonid Mykhaylovych Chernovetskyi ket isu ti maika-4 a Mayor ti Kiev, ti kaptitolio ti Ukrania. Sakbay ti pagsapulanna iti politika, isu ket maysa a narang-ay a negosiante, nangibangon ken agtengtengel ti kaimbagan iti Pravex a Grupo ken Banko ti Pravex, maysa kadagiti kadakkelan a banko iti Ukrania. Manipud ti panakaidutokenna babaen ti Presidente a ni Viktor Yanukovych iti Oleksandr Popov a kas Daulo iti Siudad nga Administrasion ti Kiev idi 16 Nobiembre 2010, a sinukatanna idi ni Chernovetskyi, Chernovetskyi ket naikkatan kadagiti ania man a panangikeddeng diay Kiev. <END>"
Fernandel,"<START> Ni Fernand Joseph Désiré Contandin, kaaduan nga ammo a kas ni Fernandel, ket maysa idi a Pranses nga aktor ken kumakanta. Naiyanak idiay Marseille, Pransia, Kada Désirée Bedouin ken Denis Contandin, nagtaud idiay Perosa Arhentina, ti maysa nga Oksitano nga ili a mabirukan idiay probinsia ti Turin. Isu ket artista iti komedia nga immuna a nakagun-od iti popularidad kadagiti Pranses a bodabil, opereta, ken music-hall. Ti naganna iti entablado ket nagtaud iti pannakiasawana kenni Henriette Manse, ti kabsat a babai ni Jean Manse, ti gayyemna ken kankanayon a kaduana iti sine. Isu ket atentibo idi iti asawa ken inang-angay idi kinunkuna ti katunganganna a babai nga isuna ket Fernand d'elle. <END>"
Roger Martin du Gard,"<START> Ni Roger Martin du Gard ket maysa idi a Pranses a mannurat ket nagunggunaan iti Premio Nobel iti Literatura di 1937. Isu ket naisanay a kas maysa a paleograpo ken arkibero, ni Martin du Gard ket nangiyeg kadagiti obrana iti maysa a naikararua iti awan kinurkurangan ken ti naannadan a panagikeddeng kadagiti salaysay. Para iti panangipanggepna ti dokumentasion ken ti pannakaikabagian iti sosial a kinapudno iti kinaagmaymaysa a panagrang-ay, isu idi ket naisilpo dagiti realista ken naturalista a tinawtawid iti maika-19 a siglo. Ti kangrunaan nga obrana ket ti Les Thibault, ti roman fleuve a maipanggep ti pamilia a Thibault, a kasisigu a naipablaak a kas maysa a serye kadagiti walo a nobela. Ti sarita ket sinusurotna ti daksanggasat dagiti dua nga agkabsat a lallaki, ni Antoine ken Jacques, manipud iti nabaknang a burges a panakapadakkel, ti kaunegan ti Umuna a Sangalubongan a Gubat, aginggana ti ipupusayda. Isu ket nangisurat pay ti maysa a nobela, ti Jean Barois, a naisurat iti naipakasaritaan a kontesto iti Dreyfus a Biang. Daytoy a nobela ketnaipadpada iti Augustin ou le Maître est là ni Joseph Malègue. Adda dagiti dua a wagas iti sanguanan iti patay : Iti kanungpalan, ti 'Augustin ou le Maître est là' ket nakaro a naipanaw manipud iti 'Jean Barois' iti dramatiko ken moralida a pamay-an a naipanggep ti panagsagsagaba. Ti kaipapanan ti bagi ken ti naisipan a panagsagsagaba ni Barois ket kasirenna ti kasasaad iti moral a depresion ken ti panagkarayo para iti namayengmeng a kinaubing. Ni Barois nagpili a matay idiay patneng a purokna, a napalikmutan kadagiti amammona ken dagiti am-ammona a banag. Ngem ti para kenni Augustin ti panagsagsagaba ket maysa a makaparagkak a kinapadas a mangipangato kaniana kadagdiay 'yelo a sona' iti nakararuaan a mamagkappia. Daytoy ket saan a nairanaan a, a saan a kasla ni Barois, isu ket nagpili a matay iti kapintasan apanagmaymaysa, idiay di personal a kuarto a pagsakitan iti Suiso bantay ti sanatorio. Daytoy a kinawagas ket mangisimbolo ti maysa a nakararuaan a kasasaad a mabalin a mangibaliw ti panagsagsagaba iti kapintas. <END>"
Verner von Heidenstam,"<START> Ni Carl Gustaf Verner von Heidenstam ket maysa idi a Sueko a mmannaniw ken nobelista, nagunggunaan ti Premio Nobel iti Literatura idi 1916. Isu ket kameng iti Sueko nga Akademia manipud idi 1912. Kaaduan kadagiti obrana ket nasged a panangiladawan kadagiti Suko a karakter, biag, ken ugugali, a kadawyan kadagiti patriotiko panakaipanunutan. <END>"
Patrick White,"<START> Ni Patrick Victor Martindale White, ket maysa idi nga Australiano a mannurat, kaaduan a naipammategan a maysa a kangrunaan a nobelista ti pagsasao nga Inggles iti maika-20 a siglo. Manipud idi 1935 aginggana idi pimmusay, isuna ket nagipablaak kadagiti 12 a nobela, dua nga unong dagiti ababa a sarita ken walo a pabpabuya. <END>"
Vivien Leigh,"<START> Ni Vivian Mary Hartley, kanungpalan nga ammo a kas ni Vivien Leigh, ket maysa idinga Ingles nga aktres ti entablado ken pelikula. Isu ket nangabak kadagiti dua a Gunguna ti Akademia para iti Kalaingan nga Aktres para iti panangiladawanna a kas ni Scarlett O'Hara iti Gone with the Wind (1939) ken Blanche DuBois iti bersion ti pelikula itif A Streetcar Named Desire (1951), ti papel nga inladawanna pay iti entablado iti West End ti Londres idi 1949. Isu ket nangabak pay iti Premio Tony para iti obrana iti Broadway a bersion ti Tovarich (1963). <END>"
Lav Diaz,"<START> Ni Lavrente Indico Diaz ket Filipino a nawaya nga agpatpataud iti pelikula. Isu ket ammo a kas maysa kadagiti kangrunaan a kameng ti tignay ti nabuntog a sinema, ken nakaaramiden kadagiti nadumaduma a kaatiddogan a naratibo a pelikula. Uray no isu ket agar-aramiden kadagiti pelikula manipud kadagiti tawen ti 1990, ni Diaz ket saan a nakaawis iti pannakadlaw iti publiko iti ruar ti Filipinas ken ti piesta ti pelikula aginggana idi naipablaak ti pelikulana iti Norte, the End of History idi 2013. <END>"
François Asselineau,"<START> Ni François Asselineau, ket Pranses a politiko ken Inspektor Heneral. Isu ket kameng ti Dakkel a Gimongan para iti Pransia (RPF), sakbay a nagpartuat iti bukodna a politikal a partido, ti Kappon ti Nadayeg a Republikano,, ti tignay a mangidiaya iti unilateral a panagikkat ti Pransia manipud ti Kappon ti Europa, ti Eurosona ken ti NATO. Isu ket nangirangarang para iti panagkandidatona para iti panagbutos iti presidente ti Pransia idi 2012 ngem napaay a nakaala kadagiti 500 a signatura manipud kadagiti nabutosan a politiko tapno agtaray para iti presidente <END>"
Russell Crowe,"<START> Ni Russell Ira Crowe ket maysa nga aktor, produser ti pelikula ken musikero. Uray no isuna ket umili iti Baro a Selanada, isu ket kaaduan a nagtataeng idiay Australia ken bukod a mangikamemng a kas Australiano. Isu ket nagbalin a popular para iti papelna a kas ti Romano a Heneral a ni Maximus Decimus Meridius iti historikal nga epiko a pelikula idi 2000 iti Gladiator, nga inturong babaen ni Ridley Scott, ken isu daytoy ti nangabakanna iti Kalaingan nga Aktor. <END>"
Fernando Lopez,"<START> Ni Fernando López, Sr. ket maysa idi a Filipino nga estadista. Kameng idi ti impluensial a Pamilia López iti Iloilo, ni Fernando López ket nagserbi a kas Bise Presidente kadagiti tallo a termino, babaen ni Presidente Elpidio Quirino (1949–1953) para kadagiti Liberal ken ni Ferdinand Marcos para kadagiti Nacionalista. <END>"
Robert Andrews Millikan,<START> Ni Robert A. Millikan ket maysa idi nga Amerikano iti eksperimental a pisiko a napmmadayawan iti Premio Nobel iti Pisika isi 1923 para iti panagrukodna iti elementario a karga ti elektroniko ken para iti obrana iti potoelektriko nga epekto. <END>
Juan Ramón Jiménez,"<START> Ni Juan Ramón Jiménez Mantecón ket maysa idi nga Espaniol a mannaniw, a nangunggunaan ti Premio Nobel iti Literatura idi 1956. Maysa kadagiti kangrunaan a kontribusion ni Jiménez iti moderno a dandaniw ket ti panangipatakder na to Pranses a konsepto iti 'puro a dandaniw.' <END>"
Eyvind Johnson,"<START> Ni Eyvind Johnson ket maysa idi a Sueko a mannurat. Isu ket nagbalin a kameng ti Sueko nga Akademia isi 1957 ken nakibinningay ti Premio Nobel iti Literatura kenni Harry Martinson isi 1974 nga addaan iti dakamat iti: para iti naratibo nga arte, nga adayo a makitkita kadagiti daga ken panpanawen, iti serbisio iti wayawaya. <END>"
Michelle Obama,"<START> Ni Michelle LaVaughn Robinson Obama ket Amerikana nga abogada ken mannurat. Isu ket asawa ti maika-44 ken agdama a presidente ti Estados Unidos, Barack Obama, ken ti immuna nga Aprikana-Amerikana nga Umuna a Balasang iti Estados Unidos. Isu ket dimmakkel idiay Abagatan a Bangir ti Chicago, ken nagturpos idiay Unibersidad ti Princeton ken Eskuela ti Linteg ti Harvard. <END>"
Karl Adolph Gjellerup,<START> Ni Karl Gjellerup ket maysa idi a Danes a mannaniw ken nobelista a kaduana ti kailianna a ni Henrik Pontoppidan ket nagunggunaan da ti Premio Nobel iti Literatura idi 1917. <END>
Claude Simon,"<START> Ni Claude Simon ket maysa idi a Pranses a nobelista ken nagunggunaan ti Premio Nobel iti Literatura idi 1985. Isu ket naipasngay idiay Antananarivo, Madagascar, ken pimmusay idiay Paris, Pransia. <END>"
Johannes Diderik van der Waals,<START> Ni Johannes Diderik van der Waals ket maysa idi nga Olandes a teoretiko a pisiko ken termodinamisista a naindayegan para iti obrana iti maysa a ekuasion ti kasasaad para kadagiti alingasaw ken dagiti likido. <END>
Erik Bruhn,"<START> Ni Erik Belton Evers Bruhn ket maysa idi a Danes a sumasala, koreograpo, artistiko a direktor, aktor, ken mannurat. <END>"
Camilo José Cela,"<START> Ni Camilo José Cela y Trulock, ket isu ti Umuna a Markes iti Iria Flavia ket maysa idi a Kastila a nobelista ken mannurat ti ababa a sarita a naikumaduaan ti Kaputotan iti '36 a tignay. <END>"
Saint-John Perse,"<START> Ni Saint-John Perse ket maysa idi a Pranses a mannaniw, isu ket nagunggunaan ti Premio Nobel iti Literatura idi 1960 'para iti nagalindayag a panagluas ken mananglukat nga imahen kadagiti daniw na.' Isu ket maysa pay a kangrunaan a Pranses a diplomatiko manipud idi 1914 aginggana idi 1940, a kalpasan daytoy ket nagnanayon a nagtaeng idiay Estados Unidos aginggana idi 1967. <END>"
Harry Martinson,"<START> Ni Harry Martinson ket maysa idi a Sueko a marinero, mannurat ken mannaniw. Idi 1949 nabutosan isuna idiay Suéko nga Akademia. Nagungunaan isu a ti naikumaduaan a Premio Nobel iti Literatura idi 1974 a kaduana ti Suéko a ni Eyvind Johnson. Ti panakapili para kenni Eyvind Johnson kenni Harry Martinson ket addan ti maysa kontrobersial ngamin ket dagitoy a dua ket kameng da iti Nobel. Isuda kenni Graham Greene, Saul Bellow ken Vladimir Nabokov ket paborito a kandidato iti dayta a tawen. <END>"
Derek Walcott,"<START> Ni Derek Alton Walcott, OBE OCC ket maysa a taga-Saint Lucia a mannaniw, dramaturgo, mannurat ken makitkita nga artista a nagunggunaan iti Premio Nobel iti Literatura idi 1992 ken ti T. S. Eliot a Premio idi 2011 para iti Dagiti Puraw a Kannaway. Dagiti obrana ket mairaman ti Homeriko nga epiko nga Omeros. Ni Robert Graves ket insurat na nga ni Walcott 'ket tenglenna ti Ingles nga addaan iti as-asideg a pannakaawat iti kauneganna a salamangka ngem kadagiti kaaduan, ngem no saan nga ania man, kadagiti kontemporariona”. <END>"
Frans Eemil Sillanpää,<START> Ni Frans Eemil Sillanpää ket maysa kadagiti kalatakan a Pinlandés a mannurat. <END>
Shmuel Yosef Agnon,"<START> Ni Shmuel Yosef Agnon, ket maysa idi a Premio Nobel a laureado a mannurat ken maysa kadagiti sentro a pigura iti moderno a Hebreo a piksion. Iti Hebreo, isu ket naamammoan babaen ti akronimo a Shai Agnon. Iti Inggles, dagiti obrana ket naipablaak babaen ti nagan a S. Y. Agnon. <END>"
