Title,First Paragraph
Vivien Leigh,"Vivien Leigh, styled as Lady Olivier after 1947, was a British actress. She won the Academy Award for Best Actress twice, for her performances as Scarlett O'Hara in Gone with the Wind (1939) and Blanche DuBois in the film version of A Streetcar Named Desire (1951), a role she had also played on stage in London's West End in 1949. She also won a Tony Award for her work in the Broadway musical version of Tovarich (1963). Although her career had periods of inactivity, in 1999 the American Film Institute ranked Leigh as the 16th-greatest female movie star of classic Hollywood cinema."
Lav Diaz,"Lavrente Indico Diaz is a Filipino independent filmmaker and former film critic. He is frequently known as one of the key members of the slow cinema movement, and has made several of the longest narrative films on record. Diaz is one of the most critically acclaimed contemporary Filipino filmmakers."
François Asselineau,François Asselineau is a French politician and an Inspector General for finances.
Russell Crowe,"Russell Ira Crowe is an actor. He was born in New Zealand, spending 10 years of his childhood in Australia and residing there permanently by age 21. He has earned various accolades, including an Academy Award, two Golden Globe Awards, and a British Academy Film Award."
Fernando Lopez,"Fernando Hofileña Lopez Sr. was a Filipino statesman. A member of the influential Lopez family of Iloilo, he served as vice president of the Philippines for under Presidents Elpidio Quirino from 1949 to 1953 under the Liberal Party and Ferdinand Marcos from 1965 to 1972, under the Nacionalista Party. He was also the chairman of ABS-CBN Corporation from 1986 to his death in 1993."
Robert Andrews Millikan,Robert Andrews Millikan was an American experimental physicist who won the Nobel Prize for Physics in 1923 for the measurement of the elementary electric charge and for his work on the photoelectric effect.
Juan Ramón Jiménez,"Juan Ramón Jiménez Mantecón was a Spanish poet, a prolific writer who received the 1956 Nobel Prize in Literature ""for his lyrical poetry, which in the Spanish language constitutes an example of high spirit and artistic purity"". One of Jiménez's most important contributions to modern poetry was his advocacy of the concept of ""pure poetry""."
Eyvind Johnson,"Eyvind Johnson was a Swedish novelist and short story writer. Regarded as the most groundbreaking novelist in modern Swedish literature he became a member of the Swedish Academy in 1957 and shared the 1974 Nobel Prize in Literature with Harry Martinson with the citation: for a narrative art, far-seeing in lands and ages, in the service of freedom."
Michelle Obama,"Michelle LaVaughn Robinson Obama is an American attorney and author who served as the first lady of the United States from 2009 to 2017, being married to former president Barack Obama."
Karl Adolph Gjellerup,Karl Adolph Gjellerup was a Danish poet and novelist who together with his compatriot Henrik Pontoppidan won the Nobel Prize in Literature in 1917. He is associated with the Modern Breakthrough period of Scandinavian literature. He occasionally used the pseudonym Epigonos.
Claude Simon,"Claude Simon was a French novelist, and was awarded the 1985 Nobel Prize in Literature."
Johannes Diderik van der Waals,Johannes Diderik van der Waals was a Dutch theoretical physicist and thermodynamicist famous for his pioneering work on the equation of state for gases and liquids. Van der Waals started his career as a schoolteacher. He became the first physics professor of the University of Amsterdam when in 1877 the old Athenaeum was upgraded to Municipal University. Van der Waals won the 1910 Nobel Prize in physics for his work on the equation of state for gases and liquids.
Erik Bruhn,"Erik Belton Evers Bruhn was a Danish ballet dancer, choreographer, artistic director, actor, and author."
Camilo José Cela,"Camilo José Cela y Trulock, 1st Marquess of Iria Flavia was a Spanish novelist, poet, story writer and essayist associated with the Generation of '36 movement."
Saint-John Perse,"Alexis Leger, better known by his pseudonym Saint-John Perse, was a French poet, writer and diplomat, awarded the 1960 Nobel Prize in Literature ""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time"""
Harry Martinson,"Harry Martinson was a Swedish writer, poet and former sailor. In 1949 he was elected into the Swedish Academy. He was awarded a joint Nobel Prize in Literature in 1974 together with fellow Swede Eyvind Johnson ""for writings that catch the dewdrop and reflect the cosmos"". The choice was controversial, as both Martinson and Johnson were members of the academy."
Derek Walcott,"Sir Derek Alton Walcott OM was a Saint Lucian poet and playwright. He received the 1992 Nobel Prize in Literature. His works include the Homeric epic poem Omeros (1990), which many critics view ""as Walcott's major achievement."" In addition to winning the Nobel Prize, Walcott received many literary awards over the course of his career, including an Obie Award in 1971 for his play Dream on Monkey Mountain, a MacArthur Foundation ""genius"" award, a Royal Society of Literature Award, the Queen's Medal for Poetry, the inaugural OCM Bocas Prize for Caribbean Literature, the 2010 T. S. Eliot Prize for his book of poetry White Egrets and the Griffin Trust For Excellence in Poetry Lifetime Recognition Award in 2015."
Frans Eemil Sillanpää,"Frans Eemil Sillanpää was a Finnish author. In 1939, he became the first Finnish writer to be awarded the Nobel Prize for Literature ""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""."
